Side,Platform,Slug,Status
Demand,Google Ads,google-ads,In progress
Demand,Meta Ads,meta-ads,In progress
Demand,LinkedIn Ads,linkedin-ads,In progress
Demand,Display & Video 360,dv360,In progress
Demand,The Trade Desk,the-trade-desk,In progress
Demand,Amazon DSP,amazon-dsp,In progress
Demand,Yahoo DSP,yahoo-dsp,In progress
Demand,DoubleVerify,doubleverify,In progress
Demand,Integral Ad Science,ias,In progress
Demand,Nielsen DAR,nielsen-dar,In progress
Demand,Comscore,comscore,In progress
Demand,Samba TV,samba-tv,In progress
Supply,Google Ad Manager,google-ad-manager,Complete
Supply,Magnite,magnite,Complete
Supply,PubMatic,pubmatic,Complete
Supply,OpenX,openx,Complete
Supply,Index Exchange,index-exchange,Complete
Supply,Microsoft Monetize,xandr-monetize,Complete
Supply,Amazon Publisher Services,amazon-publisher-services,Complete
Supply,Prebid.js,prebid,Complete
Supply,Google Publisher Tag,google-publisher-tag,Planned
Supply,TripleLift,triplelift,Complete
Supply,Equativ,equativ,Planned
Supply,SpringServe,springserve,Planned
Supply,FreeWheel,freewheel,Planned
Supply,Kevel,kevel,Planned
